,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
325,uid3_TransactionAmt_std,11814,10176,12936,9343,7498,11695,10577.0
326,lastest_browser,209,180,262,139,181,239,201.66666666666666
327,card1_fq_enc,4288,3693,4563,3857,3104,4450,3992.5
328,card2_fq_enc,3090,2410,3189,2247,2084,2633,2608.8333333333335
329,card3_fq_enc,136,180,176,190,122,209,168.83333333333334
330,card5_fq_enc,724,496,664,521,492,712,601.5
331,C1_fq_enc,1870,1570,1832,1529,1342,1766,1651.5
332,C2_fq_enc,1283,1230,1487,1265,1213,1462,1323.3333333333333
333,C4_fq_enc,150,181,175,115,153,174,158.0
334,C5_fq_enc,484,402,472,491,347,495,448.5
335,C6_fq_enc,1300,1312,1627,1236,1096,1518,1348.1666666666667
336,C7_fq_enc,91,93,110,93,91,139,102.83333333333333
337,C8_fq_enc,459,361,472,317,353,397,393.1666666666667
338,C9_fq_enc,1024,903,1063,945,788,1068,965.1666666666666
339,C10_fq_enc,352,329,429,304,318,415,357.8333333333333
340,C11_fq_enc,1078,952,1216,981,967,1098,1048.6666666666667
341,C12_fq_enc,337,302,372,282,256,317,311.0
342,C13_fq_enc,2423,2112,2432,2173,1889,2557,2264.3333333333335
343,C14_fq_enc,1566,1544,1719,1383,1218,1625,1509.1666666666667
344,D1_fq_enc,1685,1589,1895,1372,1260,1598,1566.5
345,D2_fq_enc,1505,1279,1534,1307,1078,1476,1363.1666666666667
346,D3_fq_enc,686,692,803,556,499,761,666.1666666666666
347,D4_fq_enc,1873,1584,2041,1380,1298,1806,1663.6666666666667
348,D5_fq_enc,755,637,852,634,575,750,700.5
349,D6_fq_enc,559,408,477,394,367,560,460.8333333333333
350,D8_fq_enc,1566,1504,1838,1389,1175,1699,1528.5
351,addr1_fq_enc,7362,6273,7478,6255,5089,7367,6637.333333333333
352,addr2_fq_enc,22,26,53,52,33,41,37.833333333333336
353,dist1_fq_enc,2111,1962,2211,1760,1483,2268,1965.8333333333333
354,P_emaildomain_fq_enc,4021,3251,4182,3518,2796,4069,3639.5
355,R_emaildomain_fq_enc,1171,1135,1414,1270,872,1348,1201.6666666666667
356,DeviceInfo_fq_enc,1689,1540,1912,1272,1263,1825,1583.5
357,device_name_fq_enc,514,503,612,483,489,694,549.1666666666666
358,id_30_fq_enc,607,677,727,606,531,771,653.1666666666666
359,id_33_fq_enc,366,453,504,407,322,595,441.1666666666667
360,uid_fq_enc,4201,3890,4417,3562,3092,4470,3938.6666666666665
361,uid2_fq_enc,4636,3860,4747,3982,3475,4991,4281.833333333333
362,uid3_fq_enc,9743,8265,10471,8640,7667,10297,9180.5
363,ProductCD_C,1,1,2,0,2,0,1.0
364,ProductCD_H,190,165,129,174,189,175,170.33333333333334
365,ProductCD_R,273,298,298,260,253,319,283.5
366,ProductCD_S,12,16,36,22,22,26,22.333333333333332
367,ProductCD_W,2,0,0,0,1,0,0.5
368,card4_american express,15,17,29,37,15,28,23.5
369,card4_discover,75,72,104,70,50,60,71.83333333333333
370,card4_mastercard,152,105,168,98,138,37,116.33333333333333
371,card4_visa,25,17,24,14,25,22,21.166666666666668
372,card6_charge card,0,0,0,0,0,0,0.0
373,card6_credit,231,221,224,186,233,243,223.0
374,card6_debit,90,85,98,99,100,115,97.83333333333333
375,card6_debit or credit,0,0,0,0,0,0,0.0
376,M1_F,0,0,0,0,0,0,0.0
377,M1_T,2,2,1,1,3,0,1.5
378,M2_F,262,174,223,151,182,180,195.33333333333334
379,M2_T,84,92,89,66,63,72,77.66666666666667
380,M3_F,290,238,342,286,287,309,292.0
381,M3_T,248,257,252,223,194,240,235.66666666666666
382,M4_M0,127,158,89,117,134,171,132.66666666666666
383,M4_M1,126,130,90,140,137,149,128.66666666666666
384,M4_M2,67,45,56,65,60,66,59.833333333333336
385,M5_F,362,349,392,404,341,426,379.0
386,M5_T,647,619,688,624,614,628,636.6666666666666
387,M6_F,594,560,636,593,533,645,593.5
388,M6_T,411,402,457,421,454,387,422.0
